timestamp,steerAngle,enco_0,enco_1,enco_2,enco_3,throttle
0.573502064,-558,0,0,0,0,40
0.597501516,-601,0,0,0,0,40
0.613498449,-657,0,0,0,0,40
0.629513979,-683,0,0,0,0,40
0.653496742,-706,0,0,0,0,40
0.669497252,-734,0,0,0,0,40
0.685497761,-750,0,0,0,0,40
0.701498985,-764,0,0,0,0,40
0.725497007,-777,0,0,0,0,40
0.741502047,-796,0,0,0,0,40
0.757506847,-809,0,0,0,0,40
0.773495913,-821,0,0,0,0,40
0.789496183,-831,0,0,0,0,40
0.805499315,-841,0,0,0,0,40
0.821497202,-851,0,0,0,0,40
0.837498903,-861,0,0,0,0,40
0.853499174,-872,0,0,0,0,40
0.869497061,-881,0,0,0,0,40
0.885517359,-890,0,0,0,0,40
0.901501656,-898,0,0,0,0,40
0.917498827,-905,0,0,0,0,40
0.933495998,-911,0,0,0,0,40
0.949498892,-918,0,0,0,0,40
0.965509176,-925,0,0,0,0,40
0.981497288,-931,0,0,0,0,40
0.99750638,-938,0,0,0,0,40
1.013499737,-945,0,0,0,0,40
1.029504776,-951,0,0,0,0,40
1.045501947,-959,0,0,0,0,40
1.061497927,-968,0,0,0,0,40
1.077501297,-978,0,0,0,0,40
1.093500853,-987,0,0,0,0,40
1.109503031,-997,0,0,0,0,40
1.125498772,-1007,0,0,0,0,40
1.14150238,-1018,0,0,0,0,40
1.157499313,-1030,0,0,0,0,40
1.173499584,-1042,0,0,0,0,40
1.189496279,-1053,0,0,0,0,40
1.205498695,-1063,0,0,0,0,40
1.221498966,-1072,0,0,0,0,40
1.237499475,-1078,0,0,0,0,40
1.253497601,-1083,0,0,0,0,40
1.269496679,-1087,0,0,0,0,40
1.28549695,-1093,0,0,0,0,40
1.301498413,-1102,0,0,0,0,40
1.317498207,-1114,0,0,0,0,40
1.333497763,-1127,0,0,0,0,40
1.349500656,-1141,0,0,0,0,40
1.36551857,-1156,0,0,0,0,40
1.381497622,-1170,0,0,0,0,40
1.397521734,-1185,0,0,0,0,40
1.421499491,-1200,0,0,0,0,40
1.437503576,-1220,0,0,0,0,40
1.453500271,-1233,0,0,0,0,40
1.477497578,-1243,0,0,0,0,40
1.493496418,-1253,0,0,0,0,40
1.509499311,-1260,0,0,0,0,40
1.525513411,-1265,0,0,0,0,40
1.549497843,-1271,0,0,0,0,40
1.565499544,-1279,0,0,0,0,40
1.581501484,-1285,0,0,0,0,40
1.597498417,-1290,0,0,0,0,40
1.613502502,-1295,0,0,0,0,40
1.629512787,-1302,0,0,0,0,40
1.645497799,-1311,0,0,0,0,40
1.661508799,-1320,0,0,0,0,40
1.685498476,-1332,0,0,0,0,40
1.701497316,-1349,0,0,0,0,40
1.717497587,-1362,0,0,0,0,40
1.733498573,-1377,0,0,0,0,40
1.749500275,-1392,0,0,0,0,40
1.765498638,-1409,0,0,0,1,40
1.781498194,-1427,0,0,0,1,40
1.797496319,-1445,0,0,0,1,40
1.813503504,-1461,0,0,0,1,40
1.829508543,-1478,0,0,0,1,40
1.845498562,-1494,0,0,0,1,40
1.86150074,-1510,0,0,0,1,40
1.877499104,-1526,0,0,0,1,40
1.893498659,-1543,0,0,0,1,40
1.909498215,-1560,0,0,0,1,40
1.925496578,-1578,0,0,0,1,40
1.941496849,-1600,0,0,0,1,40
1.95749712,-1619,0,0,0,1,40
1.973498344,-1642,0,0,0,1,40
1.989498854,-1670,0,0,0,1,40
2.00549531,-1701,0,0,0,1,40
2.021497488,-1744,0,0,0,1,40
2.037498951,-1790,0,0,0,1,40
2.05349803,-1849,0,0,0,1,40
2.069499493,-1913,0,0,0,1,40
2.085498571,-1982,0,0,0,1,40
2.101501226,-2057,0,0,0,1,40
2.117499113,-2135,0,0,0,1,40
2.133498192,-2219,0,0,0,1,40
2.14949894,-2326,0,0,0,1,40
2.165500402,-2439,0,0,0,1,40
2.181513548,-2543,0,0,0,1,40
2.205498219,-2660,0,0,0,1,40
2.221500635,-2815,0,0,0,1,40
2.237502098,-2925,0,0,0,1,40
2.253500462,-3021,0,0,0,1,40
2.269500971,-3127,0,0,0,1,40
2.285503387,-3229,0,0,0,1,40
2.301499605,-3331,0,0,0,1,40
2.317496061,-3426,0,0,0,1,40
2.333498478,-3451,0,0,0,1,40
2.349496603,-3443,0,0,0,1,40
2.365498543,-3462,0,0,0,1,40
2.381499767,-3471,0,0,0,1,40
2.397498131,-3482,0,0,0,1,40
2.413497448,-3489,0,0,0,1,40
2.429508448,-3492,0,0,0,1,40
2.445497274,-3496,0,0,0,1,40
2.461499453,-3496,0,0,0,1,40
2.477498531,-3494,0,0,0,1,40
2.493501186,-3493,0,0,0,1,40
2.509498119,-3492,0,0,0,1,40
2.525497437,-3490,0,0,0,1,40
2.541499853,-3484,0,0,0,1,40
2.557498932,-3476,0,0,0,1,40
2.573497295,-3474,0,0,0,1,40
2.589501858,-3473,0,0,0,1,40
2.605497599,-3472,0,0,0,1,40
2.621504545,-3472,0,0,0,1,40
2.637499094,-3471,0,0,0,1,40
2.653506517,-3471,0,0,0,1,40
2.669495344,-3471,0,0,0,1,40
2.685497761,-3471,0,0,0,1,40
2.701499462,-3471,0,0,0,1,40
2.717497349,-3471,0,0,0,1,40
2.733497381,-3471,0,0,0,1,40
2.749497652,-3471,0,0,0,1,40
2.765498161,-3471,0,0,0,1,40
2.78150034,-3348,0,0,0,1,40
2.797498465,-3202,0,0,0,1,40
2.813508034,-3018,0,0,0,1,40
2.837498903,-2799,0,0,0,1,40
2.85349822,-2463,0,0,0,1,40
2.877498865,-2206,0,0,0,1,40
2.901496172,-1975,0,0,0,1,40
2.917498827,-1486,0,0,0,1,40
2.93349576,-1269,0,0,0,1,40
2.949498892,-1058,0,0,0,1,40
2.965498924,-872,0,0,0,1,40
2.981497765,-681,0,0,0,1,40
2.997500181,-515,0,0,0,1,40
3.02149868,-362,0,0,0,1,40
3.037497759,-164,0,0,0,1,40
3.053497314,-49,0,0,0,1,40
3.069497585,48,0,0,0,1,40
3.085501194,138,0,0,0,1,40
3.101499081,216,0,0,0,1,40
3.117500067,278,0,0,0,1,40
3.133501768,330,0,0,0,1,40
3.149499655,374,0,0,0,1,40
3.165497303,411,0,0,0,1,40
3.181500673,443,0,0,0,1,40
3.19749856,469,0,0,0,1,40
3.213500261,489,0,0,0,1,40
3.229497194,507,0,0,0,1,40
3.245501041,519,0,0,0,1,40
3.261499882,526,0,0,0,1,40
3.277500868,529,0,0,0,1,40
3.293497562,536,0,0,0,1,40
3.309500933,551,0,0,0,1,40
3.329559803,577,0,0,0,1,40
3.345552444,621,0,0,0,1,40
3.361552238,661,0,0,0,1,40
3.377551794,695,0,0,0,1,40
3.389676809,723,0,0,0,1,40
3.41366291,736,0,0,0,1,40
3.441758394,769,0,0,0,1,40
3.457738161,833,0,0,0,1,40
3.477833986,923,0,0,0,1,40
3.501805067,1015,0,0,0,1,40
3.519864082,1205,0,0,0,1,40
3.53586483,1338,0,0,0,1,40
3.551865101,1468,0,0,0,1,40
3.567862988,1617,0,0,0,1,40
3.583876371,1787,0,0,0,1,40
3.599865675,1972,0,0,0,1,40
3.615864515,2164,0,0,0,1,40
3.631866455,2365,0,0,0,1,40
3.647870779,2582,0,0,0,1,40
3.663865566,2808,0,0,0,1,40
3.679862261,3036,0,0,0,2,40
3.695863962,3259,0,0,0,2,40
3.711865902,3468,0,0,0,2,40
3.727865458,3515,0,0,0,2,40
3.743864536,3490,0,0,0,2,40
3.759863377,3494,0,0,0,2,40
3.775866032,3498,0,0,0,2,40
3.791862011,3501,0,0,0,2,40
3.80786252,3504,0,0,0,2,40
3.823863029,3504,0,0,0,2,40
3.839862823,3504,0,0,0,2,40
3.855881453,3504,0,0,0,2,40
3.871863365,3504,0,0,0,2,40
3.887871265,3503,0,0,0,2,40
3.903864384,3502,0,0,0,2,40
3.919862986,3502,0,0,0,2,40
3.935867548,3501,0,0,0,2,40
3.951863289,3499,0,0,0,2,40
3.967864037,3499,0,0,0,2,40
3.983862877,3498,0,0,0,2,40
3.999865055,3497,0,0,0,2,40
4.015862465,3498,0,0,0,2,40
4.031862259,3499,0,0,0,2,40
4.047862768,3499,0,0,0,2,40
4.067941427,3499,0,0,0,2,40
4.080121517,3499,0,0,0,2,40
4.106129646,3499,0,0,0,2,40
4.122129679,3499,0,0,0,2,40
4.138126135,3499,0,0,0,2,40
4.154149294,3499,0,0,0,2,40
4.170127869,3499,0,0,0,2,40
4.186128616,3499,0,0,0,2,40
4.202144146,3499,0,0,0,2,40
4.22612834,3499,0,0,0,2,40
4.242127895,3499,0,0,0,2,40
4.258128166,3499,0,0,0,2,40
4.274132013,3499,0,0,0,2,40
4.290129662,3499,0,0,0,2,40
4.306134701,3498,0,0,0,2,40
4.322127342,3499,0,0,0,2,40
4.338132143,3499,0,0,0,2,40
4.35413003,3499,0,0,0,2,40
4.370131016,3499,0,0,0,2,40
4.386126757,3499,0,0,0,2,40
4.402132511,3499,0,0,0,2,40
4.418133259,3499,0,0,0,2,40
4.434153795,3499,0,0,0,2,40
4.458128214,3499,0,0,0,2,40
4.474127293,3498,0,0,0,2,40
4.490126371,3499,0,0,0,2,40
4.506134748,3499,0,0,0,2,40
4.522126436,3499,0,0,0,2,40
4.538139343,3499,0,0,0,2,40
4.554127455,3499,0,0,0,2,40
4.570126772,3499,0,0,0,2,40
4.586132526,3499,0,0,0,2,40
4.602128506,3499,0,0,0,2,40
4.618126869,3499,0,0,0,2,40
4.634129524,3499,0,0,0,2,40
4.650127172,3499,0,0,0,2,40
4.666128874,3499,0,0,0,2,40
4.682129383,3499,0,0,0,2,40
4.698135614,3499,0,0,0,2,40
4.714137077,3499,0,0,0,2,40
4.730137825,3499,0,0,0,2,40
4.746127844,3499,0,0,0,2,40
