cone ID,leftOrRight,Xpos,Ypos,prev ID,next ID,coneData
0,LEFT,2.0,8.53,31,1,
1,LEFT,2.3,10.57,0,2,['finish']
2,LEFT,3.2,11.7,1,3,
3,LEFT,4.35,12.4,2,4,
4,LEFT,5.58,12.8,3,5,
5,LEFT,7.4,13.2,4,6,
6,LEFT,8.97,13.4,5,7,
7,LEFT,11.2,13.65,6,8,
8,LEFT,13.85,13.78,7,9,
9,LEFT,16.4,13.72,8,10,
10,LEFT,19.4,13.7,9,11,
11,LEFT,22.02,13.3,10,12,
12,LEFT,25.48,12.9,11,13,
13,LEFT,27.43,11.22,12,14,
14,LEFT,28.15,9.53,13,15,
15,LEFT,28.65,7.6,14,16,
16,LEFT,29.3,5.3,15,17,
17,LEFT,29.35,3.33,16,18,
18,LEFT,28.68,1.88,17,19,
19,LEFT,26.93,0.7,18,20,
20,LEFT,25.02,0.28,19,21,
21,LEFT,23.05,0.2,20,22,
22,LEFT,20.8,0.17,21,23,
23,LEFT,18.12,0.1,22,24,
24,LEFT,15.82,0.1,23,25,
25,LEFT,13.55,0.17,24,26,
26,LEFT,10.88,0.28,25,27,
27,LEFT,7.42,0.55,26,28,
28,LEFT,5.53,0.88,27,29,
29,LEFT,3.38,1.98,28,30,
30,LEFT,2.08,3.6,29,31,
31,LEFT,1.75,6.08,0,30,
32,RIGHT,6.22,7.25,50,33,
33,RIGHT,7.12,8.62,32,34,['finish']
34,RIGHT,8.97,9.2,33,35,
35,RIGHT,11.93,9.85,34,36,
36,RIGHT,15.22,9.97,35,37,
37,RIGHT,17.8,9.95,36,38,
38,RIGHT,19.35,9.68,37,39,
39,RIGHT,21.12,9.57,38,40,
40,RIGHT,23.2,9.12,39,41,
41,RIGHT,24.43,8.28,40,42,
42,RIGHT,24.82,6.88,41,43,
43,RIGHT,24.82,5.55,42,44,
44,RIGHT,23.8,4.33,43,45,
45,RIGHT,21.45,3.8,44,46,
46,RIGHT,18.7,3.6,45,47,
47,RIGHT,15.25,3.83,46,48,
48,RIGHT,12.07,4.35,47,49,
49,RIGHT,9.47,4.85,48,50,
50,RIGHT,7.5,6.12,32,49,
