cone ID,leftOrRight,Xpos,Ypos,prev ID,next ID,coneData
0,LEFT,14.25,11.75,-1,-1,
1,LEFT,18.55,17.55,-1,-1,
2,LEFT,26.05,18.65,-1,-1,
3,LEFT,29.7,14.7,-1,-1,
4,LEFT,30.25,8.95,-1,5,
5,LEFT,33.3,5.95,4,-1,
6,LEFT,36.75,10.55,-1,-1,
7,LEFT,37.2,16.3,-1,-1,
8,LEFT,35.65,21.2,-1,-1,
9,LEFT,29.85,23.5,-1,-1,
10,LEFT,24.05,23.95,-1,-1,
11,LEFT,17.25,23.25,-1,-1,
12,LEFT,12.2,20.05,-1,-1,
13,LEFT,10.1,15.25,-1,-1,
14,LEFT,8.9,9.65,-1,-1,
15,LEFT,13.0,6.7,-1,-1,
16,RIGHT,9.95,0.95,-1,-1,
17,RIGHT,16.0,1.45,-1,-1,
18,RIGHT,18.9,5.9,-1,-1,
19,RIGHT,22.15,11.25,-1,-1,
20,RIGHT,25.4,6.1,-1,-1,
21,RIGHT,27.4,1.45,17,-1,
