cone ID,leftOrRight,Xpos,Ypos,prev ID,next ID,coneData
0,LEFT,4.25,9.6,3,1,
1,LEFT,6.5,11.35,0,2,
2,LEFT,4.4,13.2,1,3,
3,LEFT,2.75,11.1,0,2,
4,RIGHT,4.05,6.05,-1,5,
5,RIGHT,7.2,6.65,4,6,
6,RIGHT,9.75,8.15,5,7,
7,RIGHT,10.25,9.8,6,8,
8,RIGHT,10.25,12.0,7,9,
9,RIGHT,9.6,14.0,8,10,
10,RIGHT,8.1,15.55,9,11,
11,RIGHT,4.9,17.15,10,12,
12,RIGHT,2.9,16.5,11,13,
13,RIGHT,1.5,14.6,12,14,
14,RIGHT,0.75,13.3,13,15,
15,RIGHT,0.35,11.65,14,16,
16,RIGHT,0.0,9.7,15,-1,
17,RIGHT,0.65,7.9,16,-1,
18,RIGHT,1.9,6.6,17,-1,
