cone ID,leftOrRight,Xpos,Ypos,prev ID,next ID,coneData
0,LEFT,19.2,10.15,-1,1,
1,LEFT,23.85,11.95,0,-1,
2,RIGHT,21.0,7.45,20,4,
3,RIGHT,26.3,8.75,5,4,
4,RIGHT,23.65,7.95,2,3,
5,RIGHT,29.0,9.2,3,6,
6,RIGHT,30.8,8.3,5,7,
7,RIGHT,34.55,8.0,6,10,
8,RIGHT,39.75,7.8,11,9,
9,RIGHT,43.0,7.9,8,12,
10,RIGHT,37.05,7.9,7,11,
11,RIGHT,38.65,7.85,8,10,
12,RIGHT,38.75,10.3,9,13,
13,RIGHT,36.05,14.5,12,14,
14,RIGHT,32.55,14.2,13,15,
15,RIGHT,30.3,9.9,14,16,
16,RIGHT,33.65,9.1,15,17,
17,RIGHT,35.55,10.95,16,18,
18,RIGHT,35.85,8.05,17,28,
19,RIGHT,28.3,8.35,22,21,
20,RIGHT,24.3,5.75,2,23,
21,RIGHT,30.3,3.9,19,26,
22,RIGHT,33.25,8.35,19,25,
23,RIGHT,26.85,8.5,20,24,
24,RIGHT,26.35,6.05,23,27,
25,RIGHT,34.25,6.15,22,26,
26,RIGHT,30.7,6.65,21,25,
27,RIGHT,30.45,7.3,24,28,
28,RIGHT,33.05,7.55,27,18,
