cone ID,leftOrRight,Xpos,Ypos,prev ID,next ID,coneData
0,LEFT,11.05,9.8,-1,10,
1,LEFT,16.3,12.4,14,13,
2,LEFT,18.35,17.45,17,15,
3,LEFT,20.25,22.4,18,16,
4,LEFT,27.65,23.75,-1,23,
5,RIGHT,10.05,3.65,-1,-1,
6,RIGHT,16.25,4.4,-1,-1,
7,RIGHT,20.2,8.1,-1,-1,
8,RIGHT,23.35,12.95,-1,-1,
9,RIGHT,26.45,17.15,-1,-1,
10,LEFT,12.35,9.8,0,11,
11,LEFT,13.55,10.15,10,12,
12,LEFT,14.7,10.8,11,13,
13,LEFT,15.5,11.45,12,1,
14,LEFT,16.85,14.0,1,15,
15,LEFT,17.55,15.75,2,14,
16,LEFT,19.25,20.65,3,17,
17,LEFT,18.9,19.1,16,2,
18,LEFT,22.45,22.9,3,19,
19,LEFT,24.9,23.55,18,20,
20,LEFT,25.65,23.35,19,21,
21,LEFT,26.3,23.35,20,22,
22,LEFT,26.3,24.3,21,-1,
23,LEFT,26.9,23.65,4,-1,
