cone ID,leftOrRight,Xpos,Ypos,prev ID,next ID,coneData
0,LEFT,1.88,8.95,27,1,
1,LEFT,2.2,10.43,0,2,
2,LEFT,2.83,11.3,1,3,
3,LEFT,3.95,12.38,2,4,
4,LEFT,5.7,12.82,3,5,
5,LEFT,7.97,13.4,4,6,
6,LEFT,10.57,13.45,5,7,
7,LEFT,14.2,13.57,6,8,
8,LEFT,16.48,13.6,7,9,
9,LEFT,20.73,13.4,8,10,
10,LEFT,24.02,13.2,9,11,
11,LEFT,26.93,11.05,10,12,
12,LEFT,28.18,9.15,11,13,
13,LEFT,28.68,7.05,12,14,
14,LEFT,28.65,4.72,13,15,
15,LEFT,27.62,1.88,14,16,
16,LEFT,24.8,0.88,15,17,
17,LEFT,22.32,0.75,16,18,
18,LEFT,19.62,0.75,17,19,
19,LEFT,17.68,0.9,18,20,
20,LEFT,15.3,0.8,19,21,
21,LEFT,13.7,0.82,20,22,
22,LEFT,10.88,0.78,21,23,
23,LEFT,9.45,0.93,22,24,
24,LEFT,6.75,0.9,23,25,
25,LEFT,4.0,1.32,24,26,
26,LEFT,2.23,2.75,25,27,
27,LEFT,1.7,5.62,26,0,['finish']
28,RIGHT,6.05,5.55,50,29,['finish']
29,RIGHT,6.1,7.4,28,30,
30,RIGHT,6.92,8.35,29,31,
31,RIGHT,8.47,8.95,30,32,
32,RIGHT,10.6,9.0,31,33,
33,RIGHT,13.45,9.07,32,34,
34,RIGHT,15.72,9.07,33,35,
35,RIGHT,18.15,9.07,34,36,
36,RIGHT,20.43,8.85,35,37,
37,RIGHT,21.62,8.38,36,38,
38,RIGHT,22.23,7.62,37,39,
39,RIGHT,22.68,6.85,38,40,
40,RIGHT,22.5,5.85,39,41,
41,RIGHT,21.77,5.22,40,42,
42,RIGHT,20.2,5.03,41,43,
43,RIGHT,19.45,5.03,42,44,
44,RIGHT,17.18,5.05,43,45,
45,RIGHT,14.9,5.1,44,46,
46,RIGHT,12.78,5.15,45,47,
47,RIGHT,10.53,5.25,46,48,
48,RIGHT,8.93,5.0,47,49,
49,RIGHT,7.65,4.92,48,50,
50,RIGHT,6.67,5.05,28,49,
51,LEFT,10.1,5.95,-1,-1,
