cone ID,leftOrRight,Xpos,Ypos,prev ID,next ID,coneData
0,LEFT,21.35,10.95,9,1,
1,LEFT,24.3,11.05,0,2,
2,LEFT,27.5,12.45,1,3,
3,LEFT,26.75,15.25,2,4,
4,LEFT,25.25,16.65,3,5,
5,LEFT,20.9,17.9,4,6,
6,LEFT,18.55,16.95,5,7,
7,LEFT,17.45,14.4,6,8,
8,LEFT,18.3,12.15,7,9,
9,LEFT,19.7,11.4,8,0,
10,RIGHT,21.65,8.7,21,11,
11,RIGHT,26.0,8.55,10,12,
12,RIGHT,29.55,10.15,11,13,
13,RIGHT,32.05,12.3,12,14,
14,RIGHT,31.5,16.1,13,15,
15,RIGHT,28.2,19.7,14,25,
16,RIGHT,23.45,22.1,25,24,
17,RIGHT,17.75,22.0,24,23,
18,RIGHT,10.9,19.2,23,19,
19,RIGHT,11.0,14.95,18,22,
20,RIGHT,15.45,9.55,22,21,
21,RIGHT,17.95,8.2,20,10,
22,RIGHT,12.7,11.9,19,20,
23,RIGHT,13.85,21.2,17,18,
24,RIGHT,20.75,22.15,16,17,
25,RIGHT,26.15,21.05,15,16,
