1586083722144,247.79,-27.41,3.59
1586083722160,247.79,-27.41,3.59
1586083722181,230.78,-10.37,-2.24
1586083722202,232.54,-10.469999,-2.1299999
1586083722221,231.61,-10.469999,-2.87
1586083722242,229.79999,-10.2699995,-3.78
1586083722262,229.62999,-10.41,-4.15
1586083722284,229.31999,-10.5199995,-4.56
1586083722303,227.78,-10.03,-4.3399997
1586083722323,225.98999,-9.17,-3.87
1586083722367,224.62,-8.12,-3.1699998
1586083722367,223.61,-7.46,-2.69
1586083722384,223.01999,-6.83,-1.9799999
1586083722403,223.5,-6.0099998,-0.48999998
1586083722423,226.62999,-4.25,3.0
1586083722443,225.87,-2.99,3.85
1586083722463,224.79,-1.49,4.69
1586083722485,222.81,0.26999998,4.66
1586083722503,221.9,1.31,4.73
1586083722523,220.92,1.99,4.75
1586083722557,219.84,2.28,4.36
1586083722563,218.76999,2.36,3.51
1586083722584,217.53,2.3999999,1.78
1586083722604,216.31999,2.74,-0.13
1586083722623,214.83,3.36,-1.73
1586083722644,213.34999,3.9399998,-2.8
1586083722663,212.15,4.15,-3.3899999
1586083722684,211.19,3.6299999,-3.84
1586083722704,210.87,2.81,-4.25
1586083722724,211.84,2.03,-4.61
1586083722757,212.47,1.88,-4.73
1586083722763,213.4,1.89,-3.8799999
1586083722784,214.51999,1.86,-2.27
1586083722803,215.68,1.79,-0.82
1586083722823,216.78,1.79,-0.12
1586083722844,217.70999,1.9799999,0.099999994
1586083722863,218.18,2.35,0.48
1586083722884,218.26999,3.06,1.2099999
1586083722904,217.98999,3.78,2.26
1586083722923,217.78,3.84,3.1699998
1586083722964,218.01999,3.01,3.4299998
1586083722965,218.76,1.74,2.9199998
1586083722984,219.83,1.02,2.9199998
1586083723004,220.58,0.68,2.72
1586083723023,220.75,0.45,2.53
1586083723043,220.29,0.32999998,2.51
1586083723063,219.19,0.14,2.58
1586083723084,217.64,-0.66999996,2.9299998
1586083723104,216.81,-1.4599999,3.12
1586083723123,216.54,-2.19,3.1499999
1586083723157,216.5,-2.6499999,3.28
1586083723163,216.4,-3.0,3.6499999
1586083723184,216.25,-3.3,3.9299998
1586083723205,216.08,-3.37,4.06
1586083723223,215.73,-3.4399998,3.8899999
1586083723243,215.01999,-3.6,3.6699998
1586083723263,214.29999,-3.72,3.4499998
1586083723283,213.76999,-3.6599998,3.46
1586083723304,213.51999,-3.59,3.6999998
1586083723324,213.47,-3.51,3.98
1586083723358,213.37999,-3.37,3.85
1586083723363,213.09999,-3.32,3.7099998
1586083723384,212.78,-3.26,3.5
1586083723403,212.65999,-3.09,3.1699998
1586083723423,212.73,-2.9199998,2.9299998
1586083723444,212.87999,-2.87,2.74
1586083723464,213.11,-2.85,2.54
1586083723485,213.29999,-2.71,2.23
1586083723503,213.26,-2.61,2.02
1586083723523,213.04999,-2.46,1.61
1586083723558,212.84999,-2.21,1.12
1586083723564,212.79,-1.93,0.65999997
1586083723584,212.83,-1.74,0.39999998
1586083723605,212.81,-1.74,0.39
1586083723623,212.78,-1.77,0.52
1586083723643,212.72,-1.67,0.61
1586083723663,212.64,-1.54,0.64
1586083723684,212.48,-1.43,0.56
1586083723704,212.36,-1.35,0.44
1586083723723,212.15999,-1.29,0.39
1586083723755,212.01999,-1.29,0.32
