cone ID,leftOrRight,Xpos,Ypos,prev ID,next ID,coneData
10,RIGHT,9.87,2.87,54,11,
11,RIGHT,11.53,2.83,10,12,
12,RIGHT,13.13,2.93,11,13,
13,RIGHT,15.3,3.0,12,14,
14,RIGHT,17.97,3.0,13,15,
15,RIGHT,21.13,3.0,14,16,
16,RIGHT,24.3,3.07,15,17,
17,RIGHT,27.6,3.5,16,18,
18,RIGHT,30.03,3.47,17,34,
34,RIGHT,32.47,4.83,18,35,
35,RIGHT,33.2,6.7,34,36,
36,RIGHT,33.5,7.9,35,37,
37,RIGHT,33.87,10.07,36,38,
38,RIGHT,33.13,12.17,37,39,
39,RIGHT,30.67,13.3,38,40,
40,RIGHT,27.5,13.63,39,41,
41,RIGHT,23.63,13.97,40,42,
42,RIGHT,20.77,14.03,41,43,
43,RIGHT,18.1,13.83,42,44,
44,RIGHT,15.63,13.63,43,45,
45,RIGHT,11.43,13.4,44,46,
46,RIGHT,8.73,12.9,45,47,
47,RIGHT,5.93,12.3,46,48,
48,RIGHT,3.67,11.3,47,49,
49,RIGHT,2.6,9.1,48,50,
50,RIGHT,2.77,6.67,49,51,
51,RIGHT,3.47,4.97,50,52,
52,RIGHT,5.0,3.97,51,53,
53,RIGHT,6.97,3.37,52,54,
54,RIGHT,8.37,3.2,53,10,
0,LEFT,9.97,5.47,32,1,
1,LEFT,11.43,5.4,0,2,
2,LEFT,13.2,5.27,1,3,
3,LEFT,14.57,5.3,2,4,
4,LEFT,16.63,5.47,3,5,
5,LEFT,18.37,5.53,4,6,
6,LEFT,20.43,5.9,5,7,
7,LEFT,21.43,6.13,6,8,
8,LEFT,24.0,6.77,7,9,
9,LEFT,27.07,7.03,8,19,
19,LEFT,29.43,7.8,9,20,
20,LEFT,29.67,9.1,19,21,
21,LEFT,29.53,10.37,20,22,
22,LEFT,28.27,11.13,21,23,
23,LEFT,27.23,11.13,22,24,
24,LEFT,25.8,11.13,23,25,
25,LEFT,23.87,11.07,24,26,
26,LEFT,21.1,11.07,25,27,
27,LEFT,18.53,10.97,26,28,
28,LEFT,15.8,10.77,27,29,
29,LEFT,12.6,10.6,28,30,
30,LEFT,10.13,10.3,29,31,
31,LEFT,7.2,9.4,30,33,
32,LEFT,7.03,8.03,56,0,
33,LEFT,7.43,6.97,31,55,
55,LEFT,6.4,6.9,33,56,
56,LEFT,6.03,7.53,55,32,
