cone ID,leftOrRight,Xpos,Ypos,prev ID,next ID,coneData
41,RIGHT,11.9,2.53,86,42,
42,RIGHT,13.93,2.6,41,43,
43,RIGHT,15.8,3.33,42,44,
44,RIGHT,17.4,4.2,43,45,
45,RIGHT,18.7,5.57,44,46,
46,RIGHT,19.63,7.13,45,47,
47,RIGHT,20.27,8.3,46,48,
48,RIGHT,21.5,9.07,47,49,
49,RIGHT,23.17,9.2,48,50,
50,RIGHT,24.33,8.1,49,51,
51,RIGHT,24.77,6.13,50,52,
52,RIGHT,25.1,4.37,51,53,
53,RIGHT,25.77,2.57,52,54,
54,RIGHT,26.87,1.27,53,55,
55,RIGHT,28.8,0.47,54,56,
56,RIGHT,30.93,0.33,55,57,
57,RIGHT,32.97,0.23,56,58,
58,RIGHT,35.07,0.3,57,59,
59,RIGHT,37.1,0.77,58,60,
60,RIGHT,38.23,1.9,59,61,
61,RIGHT,38.93,3.73,60,62,
62,RIGHT,39.37,5.73,61,63,
63,RIGHT,39.77,8.0,62,64,
64,RIGHT,39.7,10.7,63,65,
65,RIGHT,39.3,13.13,64,66,
66,RIGHT,37.77,15.47,65,67,
67,RIGHT,35.2,17.43,66,68,
68,RIGHT,32.23,18.77,67,69,
69,RIGHT,28.63,19.6,68,70,
70,RIGHT,24.8,19.53,69,71,
71,RIGHT,22.27,18.87,70,72,
72,RIGHT,20.23,17.8,71,73,
73,RIGHT,18.43,16.87,72,74,
74,RIGHT,16.0,16.6,73,75,
75,RIGHT,12.9,16.5,74,76,
76,RIGHT,10.53,16.33,75,77,
77,RIGHT,8.03,15.83,76,78,
78,RIGHT,5.8,14.67,77,79,
79,RIGHT,4.2,13.0,78,80,
80,RIGHT,2.8,10.6,79,81,
81,RIGHT,2.23,8.1,80,82,
82,RIGHT,2.8,6.23,81,83,
83,RIGHT,3.87,3.87,82,84,
84,RIGHT,5.77,2.73,83,85,
85,RIGHT,7.83,2.2,84,86,
86,RIGHT,9.83,2.27,85,41,
0,LEFT,9.77,5.4,40,1,
1,LEFT,11.5,5.53,0,2,
2,LEFT,12.27,5.57,1,3,
3,LEFT,13.57,5.63,2,4,
4,LEFT,14.73,5.87,3,5,
5,LEFT,16.03,6.67,4,6,
6,LEFT,16.77,7.73,5,7,
7,LEFT,17.23,9.33,6,8,
8,LEFT,17.87,10.8,7,10,
9,LEFT,19.57,11.9,-1,-1,
10,LEFT,21.93,12.37,8,11,
11,LEFT,24.33,12.4,10,12,
12,LEFT,26.53,11.63,11,13,
13,LEFT,27.9,10.27,12,14,
14,LEFT,28.47,7.97,13,15,
15,LEFT,28.97,6.27,14,16,
16,LEFT,30.1,4.47,15,17,
17,LEFT,31.97,3.4,16,18,
18,LEFT,34.17,3.03,17,19,
19,LEFT,35.73,3.63,18,20,
20,LEFT,36.03,5.27,19,21,
21,LEFT,36.17,7.33,20,22,
22,LEFT,36.17,9.47,21,23,
23,LEFT,35.97,11.6,22,24,
24,LEFT,35.03,13.47,23,25,
25,LEFT,32.8,14.53,24,26,
26,LEFT,30.1,15.13,25,27,
27,LEFT,27.43,15.47,26,28,
28,LEFT,24.93,15.47,27,29,
29,LEFT,22.63,14.37,28,30,
30,LEFT,21.07,13.3,29,31,
31,LEFT,19.67,12.67,30,32,
32,LEFT,17.3,12.1,31,33,
33,LEFT,14.77,12.07,32,34,
34,LEFT,11.77,12.1,33,35,
35,LEFT,9.4,12.03,34,36,
36,LEFT,7.2,11.53,35,37,
37,LEFT,6.03,10.17,36,38,
38,LEFT,5.83,8.13,37,39,
39,LEFT,6.53,6.57,38,40,
40,LEFT,8.03,5.77,39,0,
