cone ID,leftOrRight,Xpos,Ypos,prev ID,next ID,coneData
12,RIGHT,3.53,5.77,-1,13,
13,RIGHT,6.3,5.9,12,14,['finish']
14,RIGHT,8.7,5.9,13,15,
15,RIGHT,10.53,6.37,14,16,
16,RIGHT,12.43,7.37,15,17,
17,RIGHT,12.93,8.07,16,18,
18,RIGHT,13.73,9.3,17,19,
19,RIGHT,14.1,11.83,18,20,
20,RIGHT,14.53,11.8,19,21,
21,RIGHT,14.43,9.93,20,22,
22,RIGHT,14.17,6.93,21,-1,
0,LEFT,2.83,9.9,-1,1,
1,LEFT,4.87,9.87,0,2,
2,LEFT,7.8,9.8,1,3,['finish']
3,LEFT,9.77,9.8,2,4,
4,LEFT,12.8,10.07,3,5,
5,LEFT,12.8,11.6,4,6,
6,LEFT,12.37,12.53,5,7,
7,LEFT,12.27,13.6,6,8,
8,LEFT,15.7,13.67,7,9,
9,LEFT,16.57,11.67,8,10,
10,LEFT,16.13,9.83,9,11,
11,LEFT,15.8,8.87,10,-1,
